"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3244"," Successfully  Verify Product Name and Total price   ","","Tue May 20 11:26:53 BDT 2025","passed","Tue May 20 11:26:56 BDT 2025","","SauceDemo site Automation Product Pruchase journey","",""
"","3099"," Successfully  Verify Product Name and Total price   ","","Thu May 15 12:25:20 BDT 2025","passed","Thu May 15 12:25:23 BDT 2025","","SauceDemo site Automation Product Pruchase journey1","",""
"","1","getProxyForUrl(""http://10.0.0.2:80/"") === """"","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: no_proxy=[::1],[::2]:80,10.0.0.1,10.0.0.2:80 (IP addresses)","",""
"","0","getProxyForUrl(""http://prefexample"") === """"","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: no_proxy=*example (substring suffix)","",""
"","0","getProxyForUrl(""http://example"") === ""http://http-proxy""","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: NPM proxy configuration: npm_config_http_proxy should take precedence over HTTP_PROXY and npm_config_proxy","",""
"","2","should support Uint8Array","","Thu May 15 12:08:13 BDT 2025","passed","Thu May 15 12:08:13 BDT 2025","","md5","",""
"","1","getProxyForUrl(""http://YYY"") === """"","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: no_proxy should not be case-sensitive","",""
"","0","getProxyForUrl(""http://example"") === """"","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: NPM proxy configuration: npm_config_no_proxy should take precedence over NO_PROXY","",""
"","1","should reject promise for used port number after timeout","","Thu May 15 12:00:07 BDT 2025","passed","Thu May 15 12:00:07 BDT 2025","","waitUntilFree","",""
"","1","should throw an error for `null`","","Thu May 15 12:08:13 BDT 2025","passed","Thu May 15 12:08:13 BDT 2025","","md5","",""
"","1","getProxyForUrl(""http://example.no"") === ""http://proxy""","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: no_proxy=*example (substring suffix)","",""
"","1","getProxyForUrl(""wss://xxx:1337"") === ""http://wss""","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: no_proxy with protocols that have a default port","",""
"","0","should return false for an unused port and given default host using arg object","","Thu May 15 12:00:07 BDT 2025","passed","Thu May 15 12:00:07 BDT 2025","","check functionality for unused port","",""
"","3336","Try LogIn and verify the message ","","Thu May 08 17:45:57 BDT 2025","passed","Thu May 08 17:46:00 BDT 2025","","SauceDemo site Automation journey","",""
"","0","should require an argument for a port number","","Thu May 15 12:00:07 BDT 2025","passed","Thu May 15 12:00:07 BDT 2025","","check arguments","",""
"","1","should not accept negative port numbers","","Thu May 15 12:00:07 BDT 2025","passed","Thu May 15 12:00:07 BDT 2025","","check arguments","",""
"","0","should timeout when no port is listening","","Thu May 15 12:00:07 BDT 2025","passed","Thu May 15 12:00:07 BDT 2025","","waitUntilUsed","",""
"","1","getProxyForUrl(""ftps://example"") === """"","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: ftp_proxy","",""
"","0","getProxyForUrl(""prototype://"") === """"","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: Invalid URLs","",""
"","225"," Successfully  CheckOut page   ","","Thu May 15 12:25:20 BDT 2025","passed","Thu May 15 12:25:20 BDT 2025","","SauceDemo site Automation Product Pruchase journey1","",""
"","0","should not accept port number > 65535","","Thu May 15 12:00:07 BDT 2025","passed","Thu May 15 12:00:07 BDT 2025","","check arguments","",""
"","1","getProxyForUrl(""https://example"") === ""http://priority""","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: NPM proxy configuration: npm_config_https_proxy should work","",""
"","1","getProxyForUrl(""ws://xxx:1337"") === ""http://ws""","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: no_proxy with protocols that have a default port","",""
"","0","getProxyForUrl(""http://otherwebsite"") === ""http://proxy""","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: NPM proxy configuration: npm_config_no_proxy should work","",""
"","17788"," Successfully  Reset App State and Sort    ","","Thu May 15 12:24:59 BDT 2025","passed","Thu May 15 12:25:16 BDT 2025","","SauceDemo site Automation Product Pruchase journey1","",""
"","1","getProxyForUrl(""http:/"") === """"","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: Invalid URLs","",""
"","9","getProxyForUrl(""bogus-scheme://example"") === ""bogus-scheme://noscheme""","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: all_proxy without scheme","",""
"","1","getProxyForUrl(""http:"") === """"","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: Invalid URLs","",""
"","1","getProxyForUrl(""http://example:1337"") === ""http://proxy""","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: no_proxy=*.example (host suffix with *.)","",""
"","3236"," Successfully  Add to Cart Product   ","","Wed May 14 11:21:25 BDT 2025","passed","Wed May 14 11:21:28 BDT 2025","","SauceDemo site Automation Product Pruchase journey","",""
"","3244"," Successfully  LogIn   ","","Wed May 14 11:21:21 BDT 2025","passed","Wed May 14 11:21:24 BDT 2025","","SauceDemo site Automation Product Pruchase journey","",""
"","3135"," Successfully  Add to Cart Product   ","","Tue May 20 11:27:32 BDT 2025","passed","Tue May 20 11:27:35 BDT 2025","","SauceDemo site Automation Product Pruchase journey1","",""
"","3","getProxyForUrl(""https://example"") === """"","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: http_proxy and HTTP_PROXY","",""
"","9","getProxyForUrl(""http://example:0"") === """"","","Thu May 15 12:08:16 BDT 2025","passed","Thu May 15 12:08:16 BDT 2025","","getProxyForUrl: no_proxy=example:80 (host + port)","",""
"","1","should not return the same hash for random numbers twice","","Thu May 15 12:08:13 BDT 2025","passed","Thu May 15 12:08:13 BDT 2025","","md5","",""
"","1","should wait until the port is listening","","Thu May 15 12:00:07 BDT 2025","passed","Thu May 15 12:00:07 BDT 2025","","waitUntilUsed","",""
"","2","should reject promise when given an invalid port","","Thu May 15 12:00:07 BDT 2025","passed","Thu May 15 12:00:07 BDT 2025","","waitUntilUsedOnHost","",""
